iter	Passed	Remaining
724	2828	916
725	2832	913
726	2836	909
727	2840	905
728	2844	901
729	2848	897
730	2853	894
731	2858	890
732	2863	886
733	2867	882
734	2870	878
735	2874	874
736	2877	870
737	2881	866
738	2885	862
739	2888	858
740	2892	854
741	2895	850
742	2899	846
743	2903	842
744	2906	838
745	2910	834
746	2913	830
747	2917	826
748	2921	822
749	2925	819
750	2928	815
751	2932	811
752	2936	807
753	2939	803
754	2943	799
755	2947	795
756	2951	791
757	2954	787
758	2958	783
759	2962	779
760	2966	775
761	2969	771
762	2973	767
763	2977	763
764	2981	760
765	2985	756
766	2989	752
767	2993	748
768	2997	744
769	3000	740
770	3004	736
771	3008	732
772	3012	728
773	3016	724
774	3020	720
775	3024	717
776	3027	713
777	3031	709
778	3035	705
779	3039	701
780	3043	697
781	3048	693
782	3052	690
783	3056	686
784	3059	682
785	3063	678
786	3067	674
787	3070	670
788	3074	666
789	3078	662
790	3082	658
791	3086	654
792	3090	650
793	3094	646
794	3098	643
795	3101	639
796	3105	635
797	3110	631
798	3114	627
799	3120	624
800	3124	620
801	3129	616
802	3133	612
803	3136	608
804	3140	604
805	3144	600
806	3148	596
807	3151	592
808	3156	589
809	3161	585
810	3166	581
811	3170	577
812	3174	573
813	3177	569
814	3181	565
815	3184	561
816	3188	558
817	3192	554
818	3196	550
819	3199	546
820	3203	542
821	3207	538
822	3210	534
823	3214	530
824	3218	526
825	3221	522
826	3225	518
827	3229	514
828	3232	510
829	3237	507
830	3242	503
831	3246	499
832	3251	495
833	3255	491
834	3260	488
835	3264	484
836	3268	480
837	3271	476
838	3275	472
839	3279	468
840	3283	464
841	3287	460
842	3290	456
843	3294	452
844	3298	448
845	3302	444
846	3306	441
847	3309	437
848	3313	433
849	3317	429
850	3320	425
851	3324	421
852	3328	417
853	3331	413
854	3335	409
855	3341	405
856	3345	402
857	3350	398
858	3353	394
859	3357	390
860	3361	386
861	3365	382
862	3369	378
863	3373	374
864	3377	370
865	3380	366
866	3384	363
867	3388	359
868	3392	355
869	3397	351
870	3400	347
871	3404	343
872	3408	339
873	3412	335
874	3416	331
875	3419	327
876	3423	324
877	3428	320
878	3432	316
879	3436	312
880	3440	308
881	3445	304
882	3447	300
883	3451	296
884	3456	292
885	3460	289
886	3466	285
887	3470	281
888	3475	277
889	3479	273
890	3482	269
891	3486	265
892	3490	261
893	3494	257
894	3498	254
895	3501	250
896	3505	246
897	3509	242
898	3513	238
899	3516	234
900	3520	230
901	3526	226
902	3529	222
903	3533	218
904	3536	214
905	3540	211
906	3544	207
907	3548	203
908	3552	199
909	3556	195
910	3559	191
911	3563	187
912	3567	183
913	3570	179
914	3575	175
915	3579	171
916	3583	168
917	3587	164
918	3592	160
919	3596	156
920	3601	152
921	3604	148
922	3608	144
923	3612	140
924	3615	136
925	3619	132
926	3622	128
927	3626	125
928	3630	121
929	3633	117
930	3637	113
931	3641	109
932	3644	105
933	3648	101
934	3652	97
935	3655	93
936	3659	89
937	3662	85
938	3666	81
939	3670	78
940	3674	74
941	3679	70
942	3683	66
943	3688	62
944	3691	58
945	3695	54
946	3698	50
947	3702	46
948	3705	42
949	3709	39
950	3712	35
951	3716	31
952	3720	27
953	3724	23
954	3727	19
955	3732	15
956	3737	11
957	3741	7
958	3745	3
959	3749	0
